Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Tian, Yuan; Ji, Kaiyuan; Zhang, Rongzhao; Jiang, Yankai; Li, Chunyi; Wang, Xiaosong; Zhai, Guangtao; ",Towards All-in-One Medical Image Re-Identification,arXiv preprint arXiv:2503.08173,,,,2025,
"Zhang, Zicheng; Wu, Haoning; Jia, Ziheng; Lin, Weisi; Zhai, Guangtao; ",Teaching LMMs for image quality scoring and interpreting,arXiv preprint arXiv:2503.09197,,,,2025,
"Li, Chunyi; Tian, Yuan; Ling, Xiaoyue; Zhang, Zicheng; Duan, Haodong; Wu, Haoning; Jia, Ziheng; Liu, Xiaohong; Min, Xiongkuo; Lu, Guo; ",Image Quality Assessment: From Human to Machine Preference,Proceedings of the Computer Vision and Pattern Recognition Conference,,,7570-7581,2025,
"Li, Chunyi; Li, Xiaozhe; Zhang, Zicheng; Tian, Yuan; Jia, Ziheng; Liu, Xiaohong; Min, Xiongkuo; Wang, Jia; Duan, Haodong; Chen, Kai; ",Information Density Principle for MLLM Benchmarks,arXiv preprint arXiv:2503.10079,,,,2025,
"Cao, Jingchao; Zhang, Shuai; Liu, Yutao; Gao, Feng; Gu, Ke; Zhai, Guangtao; Dong, Junyu; Kwong, Sam; ",Multi-Scale Local and Global Feature Fusion for Blind Quality Assessment of Enhanced Images,IEEE Transactions on Circuits and Systems for Video Technology,,,,2025,IEEE
"Hu, Qiang; Zheng, Zihan; Zhong, Houqiang; Fu, Sihua; Song, Li; Zhang, Xiaoyun; Zhai, Guangtao; Wang, Yanfeng; ",4DGC: Rate-Aware 4D Gaussian Compression for Efficient Streamable Free-Viewpoint Video,Proceedings of the Computer Vision and Pattern Recognition Conference,,,875-885,2025,
"Wang, Ruiyi; Zheng, Yushuo; Zhang, Zicheng; Li, Chunyi; Liu, Shuaicheng; Zhai, Guangtao; Liu, Xiaohong; ",Learning hazing to dehazing: Towards realistic haze generation for real-world image dehazing,Proceedings of the Computer Vision and Pattern Recognition Conference,,,23091-23100,2025,
"Sun, Yinan; Min, Xiongkuo; Zhang, Zicheng; Gao, Yixuan; Cao, Yuqin; Zhai, Guangtao; ","Mitigating Low-Level Visual Hallucinations Requires Self-Awareness: Database, Model and Training Strategy",arXiv preprint arXiv:2503.20673,,,,2025,
"Li, Ting; Zuo, Ling; Wang, Pengyu; Yang, Liangfu; Liu, Zijia; Wang, Xu; Tan, Jingze; Yang, Yajun; Wang, Jiucun; Zhou, Yong; ",TonguExpert: A Deep Learning-Based Algorithm Platform for Fine-Grained Extraction and Classification of Tongue Phenotypes,Phenomics,,,1-14,2025,Springer Nature Singapore Singapore
"Zhang, Kaiwei; Zhu, Dandan; Min, Xiongkuo; Zhai, Guangtao; ",Mesh Mamba: A Unified State Space Model for Saliency Prediction in Non-Textured and Textured Meshes,Proceedings of the Computer Vision and Pattern Recognition Conference,,,16219-16228,2025,
"Zhao, Xiangyu; Zhang, Peiyuan; Tang, Kexian; Zhu, Xiaorong; Li, Hao; Chai, Wenhao; Zhang, Zicheng; Xia, Renqiu; Zhai, Guangtao; Yan, Junchi; ",Envisioning beyond the pixels: Benchmarking reasoning-informed visual editing,arXiv preprint arXiv:2504.02826,,,,2025,
"Zhou, Min; Yang, Yiyan; Zhai, Guangtao; Song, Xuefei; ",A Quantitative Method for Visual Appearance Recognition of Swollen Eyes Based on 3D Information of Eye-Related Key Points,International Forum on Digital TV and Wireless Multimedia Communications,,,206-216,2024,Springer Nature Singapore Singapore
"Zhai, Guangtao; Zhou, Jun; Ye, Long; Yang, Hua; An, Ping; ","Digital Multimedia Communications: 21st International Forum on Digital TV and Wireless Multimedia Communications, IFTC 2024, Hainan, China, November 28–29, 2024, Revised Selected Papers, Part I",,,,,2025,Springer Nature
"Zhou, Yingjie; Cao, Jiezhang; Zhang, Zicheng; Wen, Farong; Jiang, Yanwei; Jia, Jun; Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao; ",Q-Agent: Quality-Driven Chain-of-Thought Image Restoration Agent through Robust Multimodal Large Language Model,arXiv preprint arXiv:2504.07148,,,,2025,
"Zhang, Zeyu; Duan, Huiyu; Zhai, Guangtao; Jiang, Bo; Ling, Yuye; ",Video inspired lesion segmentation algorithm for OCT retinal images,Medical Imaging 2025: Image Processing,13406,,560-564,2025,SPIE
"Wang, Jiarui; Duan, Huiyu; Zhao, Yu; Wang, Juntong; Zhai, Guangtao; Min, Xiongkuo; ",LMM4LMM: Benchmarking and evaluating large-multimodal image generation with LMMs,arXiv preprint arXiv:2504.08358,,,,2025,
"Li, Jinhao; Chen, Zijian; Jiang, Runze; Chen, Tingzhu; Wang, Changbo; Zhai, Guangtao; ","Mitigating long-tail distribution in oracle bone inscriptions: Dataset, model, and benchmark",Proceedings of the 33rd ACM International Conference on Multimedia,,,7729-7738,2025,
"Wu, Sijing; Li, Yunhao; Xu, Ziwen; Gao, Yixuan; Duan, Huiyu; Sun, Wei; Zhai, Guangtao; ",Fvq: A large-scale dataset and an lmm-based method for face video quality assessment,Proceedings of the 33rd ACM International Conference on Multimedia,,,6928-6937,2025,
"Qian, Jiaying; Jia, Ziheng; Zhang, Zicheng; Zhang, Zeyu; Zhai, Guangtao; Min, Xiongkuo; ",Towards Explainable Partial-AIGC Image Quality Assessment,Proceedings of the 33rd ACM International Conference on Multimedia,,,6761-6770,2025,
"Zhang, Zeyu; Chen, Zijian; Zhang, Zicheng; Sun, Yuze; Tian, Yuan; Jia, Ziheng; Li, Chunyi; Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao; ",PuzzleBench: A Fully Dynamic Evaluation Framework for Large Multimodal Models on Puzzle Solving,arXiv preprint arXiv:2504.10885,,,,2025,
"Yang, Liu; Duan, Huiyu; Zhu, Yucheng; Liu, Xiaohong; Liu, Lu; Xu, Zitong; Ma, Guangji; Min, Xiongkuo; Zhai, Guangtao; Le Callet, Patrick; ",OMNI2: Unifying omnidirectional image generation and editing in an omni model,Proceedings of the 33rd ACM International Conference on Multimedia,,,10103-10112,2025,
"Li, Xin; Yuan, Kun; Li, Bingchen; Guan, Fengbin; Shao, Yizhen; Yu, Zihao; Wang, Xijun; Lu, Yiting; Luo, Wei; Yao, Suhang; ",NTIRE 2025 challenge on short-form ugc video quality assessment and enhancement: Methods and results,Proceedings of the Computer Vision and Pattern Recognition Conference,,,1092-1103,2025,
"Gao, Lancheng; Jia, Ziheng; Zeng, Yunhao; Sun, Wei; Zhang, Yiming; Zhou, Wei; Zhai, Guangtao; Min, Xiongkuo; ",EEMO-Bench: a benchmark for multi-modal large language models on image evoked emotion assessment,Proceedings of the 33rd ACM International Conference on Multimedia,,,7064-7073,2025,
"Wang, Zesheng; Bruckert, Alexandre; Callet, Patrick Le; Zhai, Guangtao; ",Efficient Listener: Dyadic Facial Motion Synthesis via Action Diffusion,arXiv preprint arXiv:2504.20685,,,,2025,
"Yang, Woo Yi; Wang, Jiarui; Wu, Sijing; Duan, Huiyu; Zhu, Yuxin; Yang, Liu; Fu, Kang; Zhai, Guangtao; Min, Xiongkuo; ",LMME3DHF: Benchmarking and evaluating multimodal 3D human face generation with lmms,Proceedings of the 33rd ACM International Conference on Multimedia,,,8825-8834,2025,
"Li, Yunhao; Wu, Sijing; Sun, Wei; Zhang, Zhichao; Zhu, Yucheng; Zhang, Zicheng; Duan, Huiyu; Min, Xiongkuo; Zhai, Guangtao; ",AGHI-QA: A Subjective-Aligned Dataset and Metric for AI-Generated Human Images,arXiv preprint arXiv:2504.21308,,,,2025,
"Cao, Linhan; Sun, Wei; Zhang, Kaiwei; Peng, Yicong; Zhai, Guangtao; Min, Xiongkuo; ",Breaking Annotation Barriers: Generalized Video Quality Assessment via Ranking-based Self-Supervision,arXiv preprint arXiv:2505.03631,,,,2025,
"Liu, Bin; Liu, Xiaohong; Luo, Qin; Shang, Ziqiao; Chu, Jielei; Ma, Lin; Li, Zhaoyu; Teng, Fei; Zhai, Guangtao; Li, Tianrui; ",Variational Bayesian Personalized Ranking,arXiv preprint arXiv:2503.11067,,,,2025,
"Wang, Jiarui; Duan, Huiyu; Jia, Ziheng; Zhao, Yu; Yang, Woo Yi; Zhang, Zicheng; Chen, Zijian; Wang, Juntong; Xing, Yuke; Zhai, Guangtao; ",LOVE: Benchmarking and Evaluating Text-to-Video Generation and Video-to-Text Interpretation,arXiv preprint arXiv:2505.12098,,,,2025,
"Gao, Yixuan; Min, Xiongkuo; Zhai, Guangtao; ",Exploring Image Quality Assessment from a New Perspective: Pupil Size,arXiv preprint arXiv:2505.13841,,,,2025,
"Zhou, Yingjie; Zhang, Zicheng; Jia, Jun; Jiang, Yanwei; Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao; ",Who is a Better Imitator: Subjective and Objective Quality Assessment of Animated Humans,IEEE Transactions on Circuits and Systems for Video Technology,,,,2025,IEEE
"Li, Chunyi; Xiao, Jiaohao; Zhang, Jianbo; Wen, Farong; Zhang, Zicheng; Tian, Yuan; Zhu, Xiangyang; Liu, Xiaohong; Cheng, Zhengxue; Lin, Weisi; ",Perceptual Quality Assessment for Embodied AI,arXiv preprint arXiv:2505.16815,,,,2025,
"Han, Shuhao; Fan, Haotian; Kong, Fangyuan; Liao, Wenjie; Guo, Chunle; Li, Chongyi; Timofte, Radu; Li, Liang; Li, Tao; Cui, Junhui; ",NTIRE 2025 challenge on Text to Image Generation Model Quality Assessment,Proceedings of the Computer Vision and Pattern Recognition Conference,,,1104-1125,2025,
"Zhu, Yucheng; Zhai, Guangtao; Min, Xiongkuo; Li, Yunhao; Teng, Long; Duan, Huiyu; Yuan, Liang; Yang, Xiaokang; ",Future Fixation Sequence Prediction for Audio-visual 360deg Videos,IEEE Transactions on Circuits and Systems for Video Technology,,,,2025,IEEE
"Zhu, Yuxin; Sun, Yinan; Duan, Huiyu; Cao, Yuqin; Jia, Ziheng; Hu, Qiang; Min, Xiongkuo; Zhai, Guangtao; ",AVSal: Enhancing Video Saliency Prediction Through Audio-Visual Fusion and Temporal Aggregation,European Conference on Computer Vision,,,127-143,2024,Springer Nature Switzerland Cham
"Cao, Yuqin; Sun, Wei; Zhang, Weixia; Sun, Yinan; Jia, Ziheng; Zhu, Yuxin; Min, Xiongkuo; Zhai, Guangtao; ",SR-VQA: Super-Resolution Video Quality Assessment Model,European Conference on Computer Vision,,,144-159,2024,Springer Nature Switzerland Cham
"Jia, Ziheng; Qian, Jiaying; Sun, Wei; Zhang, Zicheng; Cao, Yuqin; Sun, Yinan; Zhu, Yuxin; Zhai, Guangtao; Min, Xiongkuo; ",Compression-RQ-VQA: Leveraging Rich Quality-Aware Features for Compressed Video Quality Assessment,European Conference on Computer Vision,,,74-91,2024,Springer Nature Switzerland Cham
"Hosu, Vlad; Conde, Marcos V; Agnolucci, Lorenzo; Barman, Nabajeet; Zadtootaghaj, Saman; Timofte, Radu; Sun, Wei; Zhang, Weixia; Cao, Yuqin; Cao, Linhan; ",AIM 2024 challenge on UHD blind photo quality assessment,European Conference on Computer Vision,,,261-286,2024,Springer Nature Switzerland Cham
"Wang, Juntong; Wang, Jiarui; Duan, Huiyu; Zhai, Guangtao; Min, Xiongkuo; ",TDVE-Assessor: Benchmarking and Evaluating the Quality of Text-Driven Video Editing with LMMs,arXiv preprint arXiv:2505.19535,,,,2025,
"Jia, Ziheng; Zhang, Zicheng; Zhang, Zeyu; Liang, Yingji; Zhu, Xiaorong; Li, Chunyi; Han, Jinliang; Wu, Haoning; Wang, Bin; Zhang, Haoran; ",Scaling-up Perceptual Video Quality Assessment,arXiv preprint arXiv:2505.22543,,,,2025,
"Wang, Jiarui; Duan, Huiyu; Wang, Juntong; Jia, Ziheng; Yang, Woo Yi; Zhu, Xiaorong; Zhao, Yu; Qian, Jiaying; Xing, Yuke; Zhai, Guangtao; ",DFBench: Benchmarking deepfake image detection capability of large multimodal models,Proceedings of the 33rd ACM International Conference on Multimedia,,,12666-12673,2025,
"Zhu, Xiaorong; Jia, Ziheng; Wang, Jiarui; Zhao, Xiangyu; Duan, Haodong; Min, Xiongkuo; Wang, Jia; Zhang, Zicheng; Zhai, Guangtao; ",Gobench: Benchmarking geometric optics generation and understanding of mllms,Proceedings of the 33rd ACM International Conference on Multimedia,,,12690-12697,2025,
"Zhao, Haonan; Liu, Qingyang; Tao, Xinhao; Niu, Li; Zhai, Guangtao; ",Shadow Generation Using Diffusion Model with Geometry Prior,Proceedings of the Computer Vision and Pattern Recognition Conference,,,7603-7612,2025,
"Yang, Yue; Chen, MingKang; Liu, Qihua; Hu, Mengkang; Chen, Qiguang; Zhang, Gengrui; Hu, Shuyue; Zhai, Guangtao; Qiao, Yu; Wang, Yu; ",Truly Assessing Fluid Intelligence of Large Language Models through Dynamic Reasoning Evaluation,arXiv preprint arXiv:2506.02648,,,,2025,
"Tian, Yuan; Ji, Kaiyuan; Zhang, Rongzhao; Jiang, Yankai; Li, Chunyi; Wang, Xiaosong; Zhai, Guangtao; ",Towards All-in-One Medical Image Re-Identification Supplementary Material,Histopathology,75,,50,,
"Wang, Jiarui; Duan, Huiyu; Zhai, Guangtao; Wang, Juntong; Min, Xiongkuo; ",AIGV-Assessor: Benchmarking and Evaluating the Perceptual Quality of Text-to-Video Generation with LMM (Supplementary Material),,,,,,
"Wen, Farong; Guo, Yijin; Wang, Junying; Xiao, Jiaohao; Zhou, Yingjie; Shen, Ye; Jia, Qi; Li, Chunyi; Zhang, Zicheng; ",Improve MLLM benchmark efficiency through interview,arXiv preprint arXiv:2506.00883,,,,2025,
"Wang, Junying; Li, Wenzhe; Wu, Yalun; Liang, Yingji; Guo, Yijin; Li, Chunyi; Duan, Haodong; Zhang, Zicheng; Zhai, Guangtao; ",Affordance Benchmark for MLLMs,arXiv preprint arXiv:2506.00893,,,,2025,
"Liu, Xiaohong; Min, Xiongkuo; Hu, Qiang; Zhang, Xiaoyun; Guo, Jie; Zhai, Guangtao; Wang, Shushi; Zhou, Yingjie; Liu, Lu; Li, Jingxin; ",NTIRE 2025 XGC Quality Assessment Challenge: Methods and Results,Proceedings of the Computer Vision and Pattern Recognition Conference,,,1389-1402,2025,
"Zhao, Haonan; Liu, Qingyang; Tao, Xinhao; Niu, Li; Zhai, Guangtao; ",Supplementary for Shadow Generation Using Diffusion Model with Geometry Prior,,,,,,
"Guo, Yijin; Ji, Kaiyuan; Zhu, Xiaorong; Wang, Junying; Wen, Farong; Li, Chunyi; Zhang, Zicheng; Zhai, Guangtao; ",Human-Centric Evaluation for Foundation Models,arXiv preprint arXiv:2506.01793,,,,2025,
"Zhang, Zhichao; Li, Xinyue; Sun, Wei; Zhang, Zicheng; Li, Yunhao; Liu, Xiaohong; Zhai, Guangtao; ",Leveraging Multimodal Large Language Models for Joint Discrete and Continuous Evaluation in Text-to-Image Alignment,Proceedings of the Computer Vision and Pattern Recognition Conference,,,977-986,2025,
"Sun, Wei; Fu, Kang; Cao, Linhan; Zhu, Dandan; Zhang, Kaiwei; Zhu, Yucheng; Zhang, Zicheng; Hu, Menghan; Min, Xiongkuo; Zhai, Guangtao; ",An Empirical Study for Efficient Video Quality Assessment,Proceedings of the Computer Vision and Pattern Recognition Conference,,,1403-1413,2025,
"Lu, Fangfang; Lian, Yingjie; Sun, Wei; Min, Xiongkuo; Zhai, Guangtao; ",A study on the user viewing experience of implanted advertisement videos based on visual saliency,Expert Systems with Applications,,,128499,2025,Pergamon
"Niu, Yifan; Wei, Tao; Zhang, Yuan; Zhai, Guangtao; Wu, Xia; ",面向功能性用户体验质量评估的脑网络构建方法,Journal of Image and Graphics,29,9,2793-2805,2024,Editorial and Publishing Board of JIG
"Xing, Yuke; Wang, Jiarui; Niu, Peizhi; Huang, Wenjie; Zhai, Guangtao; Xu, Yiling; ",3DGS-IEVAL-15K: a large-scale image quality evaluation database for 3D Gaussian-splatting,Proceedings of the 33rd ACM International Conference on Multimedia,,,12682-12689,2025,
"Zhou, Yingjie; Zhang, Zicheng; Sun, Wei; Min, Xiongkuo; Zhai, Guangtao; ",CT-PCQA: A Convolutional Neural Network and Transformer combined Method for Point Cloud Quality Assessment,Signal Processing: Image Communication,,,117371,2025,Elsevier
"Zhu, Dandan; Zhang, Kaiwei; Min, Xiongkuo; Zhai, Guangtao; Yang, Xiaokang; ",From Haziness to Clarity: A Novel Iterative Memory-Retrospective Emergence Model for Omnidirectional Image Saliency Prediction,IEEE Transactions on Image Processing,,,,2025,IEEE
"Chen, Yixu; Chen, Bowen; Wei, Hai; Bovik, Alan C; Li, Baojun; Sun, Wei; Cao, Linhan; Fu, Kang; Zhu, Dandan; Jia, Jun; ",ICME 2025 Generalizable HDR and SDR Video Quality Measurement Grand Challenge,2025 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),,,1-6,2025,IEEE
"Jin, Jianing; Ying, Jiangyong; Duan, Huiyu; Yang, Liu; Wu, Sijing; Li, Yunhao; Zheng, Yushuo; Min, Xiongkuo; Zhai, Guangtao; ",RGC-VQA: An Exploration Database for Robotic-Generated Video Quality Assessment,Proceedings of the 33rd ACM International Conference on Multimedia,,,13413-13420,2025,
"Yang, Liu; Duan, Huiyu; Wang, Jiarui; Liu, Jing; Hu, Menghan; Min, Xiongkuo; Zhai, Guangtao; Le Callet, Patrick; ",Quality assessment and distortion-aware saliency prediction for ai-generated omnidirectional images,IEEE Transactions on Circuits and Systems for Video Technology,,,,2025,IEEE
"Chen, Zijian; Tian, Yuan; Sun, Yuze; Sun, Wei; Zhang, Zicheng; Lin, Weisi; Zhai, Guangtao; Zhang, Wenjun; ",Just Noticeable Difference for Large Multimodal Models,arXiv preprint arXiv:2507.00490,,,,2025,
"Xie, Zongyi; Duan, Huiyu; Zhu, Yuxin; Wang, Pengfei; Min, Xiongkuo; Zhai, Guangtao; ",Visual Saliency Prediction for Augmented Reality Videos,2025 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2025,IEEE
"Zhang, Zicheng; Wang, Junying; Guo, Yijin; Wen, Farong; Chen, Zijian; Wang, Hanqing; Li, Wenzhe; Sun, Lu; Zhou, Yingjie; Zhang, Jianbo; ",AIBENCH: TOWARDS TRUSTWORTHY EVALUATION UNDER THE 45 LAW,Displays,91,,,2026,
"Huang, Yijie; Ni, Haoyang; Zhang, Kaiwei; Lu, Fangfang; Min, Xiongkuo; Zhai, Guangtao; ",A Dataset and Method for Assessing the Quality of Display Devices,2025 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2025,IEEE
"Zhang, Zhichao; Sun, Wei; Li, Xinyue; Li, Yunhao; Jia, Jun; Min, Xiongkuo; Zhang, Zicheng; Li, Chunyi; Ji, Zhongpeng; Sun, Fengyu; ",Perceptual Quality Assessment of AI Generated Content Videos: a Dataset and Benchmark,2025 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2025,IEEE
"Gui, Yubo; Zhu, Yucheng; Zhai, Guangtao; Liu, Ning; ",Subjective and Objective Emotional Consistency Assessment for UGC Short,"Digital Multimedia Communications: 19th International Forum, IFTC 2022, Shanghai, China, December 8–9, 2022, Revised Selected Papers",,,246,2023,Springer Nature
"Zhang, Zicheng; Wu, Haoning; Zhang, Erli; Zhai, Guangtao; Lin, Weisi; ",A benchmark for multi-modal foundation models on low-level vision: from single images to pairs,arXiv preprint arXiv:2402.07116,2,3,5,2024,
"Zhang, Zhichao; Sun, Wei; Xinyue, Li; Jia, Jun; Min, Xiongkuo; Zhang, Zicheng; Li, Chunyi; Chen, Zijian; Puyi, Wang; Fengyu, Sun; ",Benchmarking multi-dimensional aigc video quality assessment: A dataset and unified model,"ACM Transactions on Multimedia Computing, Communications and Applications",21,9,1-24,2025,"ACM New York, NY"
"Shi, Yiming; Min, Xiongkuo; Gao, Yixuan; Zhai, Guangtao; ",Machine Vision Quality Assessment for Image Restoration,2025 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2025,IEEE
"Gao, Yixuan; Min, Xiongkuo; Cao, Yuqin; Lin, Weisi; Lee, Bu Sung; Zhai, Guangtao; ",Blind image quality assessment by Gaussian mixture distribution,IEEE Transactions on Image Processing,,,,2025,IEEE
"Sun, Wei; Cao, Linhan; Fu, Kang; Zhu, Dandan; Jia, Jun; Hu, Menghan; Min, Xiongkuo; Zhai, Guangtao; ",CompressedVQA-HDR: Generalized Full-reference and No-reference Quality Assessment Models for Compressed High Dynamic Range Videos,2025 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),,,1-6,2025,IEEE
"Xin, Yi; Zhuo, Le; Qin, Qi; Luo, Siqi; Cao, Yuewen; Fu, Bin; He, Yangfan; Li, Hongsheng; Zhai, Guangtao; Liu, Xiaohong; ",Resurrect mask autoregressive modeling for efficient and scalable image generation,arXiv preprint arXiv:2507.13032,,,,2025,
"Sun, Wei; Zhang, Weixia; Cao, Linhan; Jia, Jun; Zhu, Xiangyang; Zhu, Dandan; Min, Xiongkuo; Zhai, Guangtao; ",Efficient Face Image Quality Assessment via Self-training and Knowledge Distillation,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,3363-3371,2025,
"Xu, Zitong; Duan, Huiyu; Liu, Bingnan; Ma, Guangji; Wang, Jiarui; Yang, Liu; Gao, Shiqi; Wang, Xiaoyu; Wang, Jia; Min, Xiongkuo; ",LMM4EDIT: Benchmarking and evaluating multimodal image editing with lmms,Proceedings of the 33rd ACM International Conference on Multimedia,,,6908-6917,2025,
"Wang, Junying; Zhang, Zicheng; Guo, Yijin; Wen, Farong; Shen, Ye; Liang, Yingji; Wu, Yalun; Li, Wenzhe; Li, Chunyi; Chen, Zijian; ",The Ever-Evolving Science Exam,arXiv preprint arXiv:2507.16514,,,,2025,
"Xin, Yi; Yan, Juncheng; Qin, Qi; Li, Zhen; Liu, Dongyang; Li, Shicheng; Huang, Victor Shea-Jay; Zhou, Yupeng; Zhang, Renrui; Zhuo, Le; ",Lumina-mgpt 2.0: Stand-alone autoregressive image modeling,arXiv preprint arXiv:2507.17801,,,,2025,
"Zhang, Zhichao; Sun, Wei; Zhai, Guangtao; ",A Perspective on Quality Evaluation for AI-Generated Videos,Sensors,25,15,4668,2025,MDPI
"Tian, Yuan; Wang, Shuo; Zhang, Rongzhao; Chen, Zijian; Jiang, Yankai; Li, Chunyi; Zhu, Xiangyang; Yan, Fang; Hu, Qiang; Wang, XiaoSong; ",Semantic versus Identity: A Divide-and-Conquer Approach towards Adjustable Medical Image De-Identification,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,20613-20625,2025,
"Luo, Siqi; Yang, Haoran; Xin, Yi; Yi, Mingyang; Wu, Guangyang; Zhai, Guangtao; Liu, Xiaohong; ",TR-PTS: Task-relevant parameter and token selection for efficient tuning,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,4360-4369,2025,
"Zhou, Yingjie; Cao, Jiezhang; Zhang, Zicheng; Wen, Farong; Jiang, Yanwei; Jia, Jun; Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao; ",Who is a better talker: subjective and objective quality assessment for AI-generated talking heads,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,12201-12211,2025,
"Sun, Wei; Cao, Linhan; Cao, Yuqin; Zhang, Weixia; Wen, Wen; Zhang, Kaiwei; Chen, Zijian; Lu, Fangfang; Min, Xiongkuo; Zhai, Guangtao; ",Engagement Prediction of Short Videos with Large Multimodal Models,Proceedings of the IEEE/CVF International Conference on Computer Vision,,,3402-3411,2025,
"Cen, Kangrui; Zhao, Baixuan; Xin, Yi; Luo, Siqi; Zhai, Guangtao; Liu, Xiaohong; ",LayerT2V: Interactive Multi-Object Trajectory Layering for Video Generation,arXiv preprint arXiv:2508.04228,,,,2025,
"Fu, Kang; Zhang, Zicheng; Duan, Huiyu; Liu, Xiaohong; Min, Xiongkuo; Wang, Jia; Zhai, Guangtao; ",VIP-PCQA: A Multi-Modal Framework for No-reference Point Cloud Quality Assessment,2025 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2025,IEEE
"Zhou, Yingjie; Wen, Farong; Zhang, Zicheng; Jiang, Yanwei; Jia, Jun; Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao; ",CAP: An Advanced No-Reference Quality Assessment Method for AI-Generated 3D Meshes,2025 IEEE International Conference on Multimedia and Expo (ICME),,,1-6,2025,IEEE
"Fu, Kang; Duan, Huiyu; Zhang, Zicheng; Liu, Xiaohong; Min, Xiongkuo; Wang, Jia; Zhai, Guangtao; ",SI23DCQA: perceptual quality assessment of single image-to-3D content,Proceedings of the IEEE International Conference on Multimedia and Expo,,,,2025,
"Wang, Shushi; Li, Chunyi; Zhang, Zicheng; Zhou, Han; Dong, Wei; Chen, Jun; Zhai, Guangtao; Liu, Xiaohong; ",AU-IQA: A Benchmark Dataset for Perceptual Quality Assessment of AI-Enhanced User-Generated Content,Proceedings of the 33rd ACM International Conference on Multimedia,,,12737-12744,2025,
"Zhou, Yingjie; Cao, Jiezhang; Wen, Farong; Xu, Li; Jiang, Yanwei; Jia, Jun; Li, Ronghui; Liu, Xiaohong; Zhou, Yu; Min, Xiongkuo; ",Who is a Better Player: LLM against LLM,arXiv preprint arXiv:2508.04720,,,,2025,
"Cao, Linhan; Sun, Wei; Zhang, Weixia; Zhu, Xiangyang; Jia, Jun; Zhang, Kaiwei; Zhu, Dandan; Zhai, Guangtao; Min, Xiongkuo; ",VQAThinker: Exploring generalizable and explainable video quality assessment via reinforcement learning,arXiv preprint arXiv:2508.06051,,,,2025,
"Chen, Zijian; Deng, Lirong; Chen, Zhengyu; Zhang, Kaiwei; Jia, Qi; Tian, Yuan; Zhu, Yucheng; Zhai, Guangtao; ",Can large models fool the eye? a new turing test for biological animation,arXiv preprint arXiv:2508.06072,,,,2025,
"Zhou, Yingjie; Zhang, Zicheng; Wu, Sijing; Jia, Jun; Jiang, Yanwei; Sun, Wei; Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao; ",MI3S: A multimodal large language model assisted quality assessment framework for AI-generated talking heads,Information Processing & Management,63,1,104321,2026,Pergamon
"Li, Jinhao; Chen, Zijian; Deng, Lirong; Wang, Changbo; Zhai, Guangtao; ",MMReID-Bench: Unleashing the Power of MLLMs for Effective and Versatile Person Re-identification,arXiv e-prints,,,arXiv: 2508.06908,2025,
"Xiao, Jiahao; Zhang, Jianbo; Yan, BoWen; Guo, Shengyu; Ye, Tongrui; Zhang, Kaiwei; Zhang, Zicheng; Liu, Xiaohong; Cheng, Zhengxue; Fan, Lei; ",Static and plugged: Make embodied evaluation simple,arXiv preprint arXiv:2508.06553,,,,2025,
"Jia, Qi; Song, Xiujie; Zhang, Zicheng; Guo, Yijin; Zhang, Kaiwei; Chen, Zijian; Zhai, Guangtao; ",User-centric subjective leaderboard by customizable reward modeling,arXiv preprint arXiv:2508.09463,,,,2025,
"Gao, Zhilin; Li, Yunhao; Wu, Sijing; Cao, Yuqin; Duan, Huiyu; Zhai, Guangtao; ",GES-QA: A multidimensional quality assessment dataset for audio-to-3D gesture generation,arXiv preprint arXiv:2508.12020,,,,2025,
"Men, Yuhang; Han, Jing; Yao, Siqiong; Zhai, Guangtao; Hu, Menghan; Liu, Jiannan; ",Classification of Craniomaxillofacial Free Flap: Mechanism and Model,IEEE Transactions on Biomedical Engineering,,,,2025,IEEE
"Zhu, Yuxin; Duan, Huiyu; Min, Xiongkuo; Zhai, Guangtao; Le Callet, Patrick; ",Exploring The Potential of Vision-Language Models for Pure-Image and Text-Guided-Image Saliency Prediction,2025 IEEE International Conference on Image Processing (ICIP),,,1780-1785,2025,IEEE
"Zhang, Kaiwei; He, Mohan; Zhu, Dandan; Zhu, Kun; Min, Xiongkuo; Zhai, Guangtao; ",Elevating Mesh Saliency in VR: Introducing a Novel Prediction Network and Dataset,"ACM Transactions on Multimedia Computing, Communications and Applications",21,12,1-22,2025,"ACM New York, NY"
